review,rating,date
"The service was excellent! The staff was very friendly and attentive.",5,2023-01-15
"Food was delicious but the wait time was too long.",3,2023-01-20
"I love this place! Will definitely come back again.",5,2023-02-01
"The quality of the products has gone down recently. Not as good as it used to be.",2,2023-02-10
"Amazing experience from start to finish. Highly recommend!",5,2023-02-15
"Average service, nothing special to write home about.",3,2023-02-20
"Disappointed with my recent purchase. The item was damaged when it arrived.",1,2023-03-01
"Great customer service! They resolved my issue quickly and efficiently.",4,2023-03-10
"The staff was rude and unhelpful. Will not be returning.",1,2023-03-15
"Decent experience overall, but a bit overpriced for what you get.",3,2023-03-20
"Absolutely fantastic! Exceeded all my expectations.",5,2023-04-01
"The product quality is inconsistent. Sometimes great, sometimes not so much.",3,2023-04-10
"Very professional and knowledgeable staff. Made me feel valued as a customer.",4,2023-04-15
"Slow response time to my inquiries. Had to follow up multiple times.",2,2023-04-20
"Best service I've ever received! The attention to detail was impressive.",5,2023-05-01
